AMP_IMP	UDP_Glc	UDP_Glc_NAC	GPC	Glycine	myo_Inositol	Choline	Cr_PCr	Aspartate	Glutamine	Succinate	GSH	Glutamate	Proline	Lysine	Isoleucine	sc_Fatty_Acids
P8_H_2	0.00526345	0.00293246	0.00723204	0.00377836	0.0114011	0.02140276	0.00120731	0.00562301	0.00554083	0.00201354	0.00275658	0.00832609	0.02045479	0.00390922	0.00429704	0.00796141	0.00343727
P9_H_3	0.00259468	0.00371784	0.00783082	0.00406458	0.01069653	0.01273996	0.00168532	0.00382328	0.00483348	0.00270771	0.00290497	0.00901408	0.02272424	0.0037876	0.00506024	0.00753356	0.00447559
P10_H_4	0.00250468	0.00188562	0.0037952	0.00373623	0.00719539	0.00807696	0.00216913	0.00754963	0.00356893	0.0029845	0.0033373	0.00805236	0.01286574	0.00503594	0.00564519	0.00964259	0.00370069
P11_H_5	0.00398594	0.00111392	0.0041331	0.00350406	0.00872735	0.01173145	0.00073354	0.00769718	0.0033442	0.00372607	0.00338328	0.01223489	0.01298185	0.00377595	0.00398711	0.00932058	0.00292206
P12_H_6	0.00301938	0.00144455	0.00332888	0.00362564	0.00923014	0.01835633	0.00209417	0.00613968	0.00411121	0.0026252	0.00285897	0.00988601	0.01165506	0.0045576	0.00549406	0.00825931	0.00369713
P1_L_1	0.00176794	0.00142121	0.0033884	0.00350527	0.00883614	0.01029236	0.00195032	0.00623383	0.00358289	0.00412667	0.00373886	0.01286064	0.01139903	0.00328046	0.00363296	0.00826744	0.00231718
P2_L_2	0.00318972	0.00250257	0.00514717	0.00368294	0.01003076	0.01715629	0.00252102	0.0067372	0.00449554	0.0020869	0.00273098	0.00960131	0.01708922	0.00537622	0.00478931	0.00785862	0.00319741
P3_L_3	0.00280771	0.00180678	0.00394355	0.00406121	0.00827624	0.00984392	0.00241458	0.00835286	0.00296789	0.00246135	0.00283131	0.00975136	0.01203112	0.00494418	0.00470235	0.00845148	0.00318041
P4_L_4	0.00211297	0.00203573	0.00414826	0.00407477	0.00642453	0.00715609	0.00234591	0.00860408	0.0029563	0.00287569	0.0035273	0.01035122	0.01255613	0.00533521	0.0049735	0.01038222	0.00299817
P5_L_5	0.00287421	0.00138288	0.00368102	0.00374274	0.00874962	0.01707875	0.00185715	0.00652415	0.00473855	0.00269735	0.00358732	0.01128824	0.01290113	0.00492233	0.00410647	0.00759555	0.00278684
