*/	WT1	WT2	WT3	KO1	KO2	KO3
ENSG00000223972	0	0	1	0	0	0
ENSG00000227232	81	61	38	37	49	38
ENSG00000278267	10	5	2	1	11	4
ENSG00000243485	0	0	0	0	2	0
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	0	3	0	2	4	1
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0
ENSG00000268903	0	3	3	8	14	10
ENSG00000269981	2	0	0	2	7	0
ENSG00000239906	0	0	0	2	2	0
ENSG00000241860	8	15	6	3	19	3
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0
ENSG00000279457	151	201	136	94	152	75
ENSG00000273874	0	0	0	0	0	0
ENSG00000228463	126	125	96	56	100	41
ENSG00000286448	3	0	0	6	3	6
ENSG00000236679	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0
ENSG00000237094	75	86	50	61	98	50
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0
ENSG00000278757	1	0	0	0	0	0
ENSG00000230021	14	8	6	11	11	7
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	37	39	25	4	21	9
ENSG00000225630	6525	5290	3721	1338	4667	1715
ENSG00000237973	1255	642	508	553	1574	682
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	46	50	22	14	44	16
ENSG00000240409	0	4	2	0	0	0
ENSG00000248527	29090	21361	13980	4956	16611	6435
ENSG00000198744	47	59	30	14	28	12
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0
ENSG00000228327	206	241	161	151	292	118
ENSG00000223181	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000237491	91	91	82	76	193	36
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	14	13	2	5	4	7
ENSG00000177757	0	0	0	0	0	0
ENSG00000228794	820	831	522	344	404	268
ENSG00000225880	33	58	40	37	74	29
ENSG00000288531	0	0	2	0	0	1
ENSG00000230368	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0
ENSG00000230699	0	0	1	0	0	0
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	1	0
ENSG00000187634	1	4	3	0	0	2
ENSG00000188976	4250	4608	3289	5425	5860	4996
ENSG00000187961	569	610	476	508	1214	708
ENSG00000187583	193	219	182	23	47	26
ENSG00000187642	2	0	0	2	0	1
ENSG00000272512	80	74	53	53	99	34
ENSG00000188290	94	186	138	114	116	130
ENSG00000187608	984	1158	847	291	350	335
ENSG00000231702	0	0	0	0	0	0
ENSG00000224969	1	1	0	0	1	0
ENSG00000188157	3429	3906	2830	4342	6641	6685
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	787	719	452	262	374	175
ENSG00000273443	3	8	6	2	3	0
ENSG00000237330	1	0	0	0	0	0
ENSG00000131591	129	181	142	252	446	324
ENSG00000285812	0	0	0	0	0	0
ENSG00000223823	1	2	1	0	4	0
ENSG00000207730	0	0	1	0	0	1
ENSG00000207607	1	4	1	1	3	2
ENSG00000198976	9	13	3	1	2	2
ENSG00000272141	97	102	83	22	67	31
ENSG00000205231	0	0	2	0	0	0
ENSG00000162571	0	0	0	0	0	0
ENSG00000186891	1	0	1	0	0	0
ENSG00000186827	0	6	0	0	0	0
ENSG00000078808	8004	8695	6209	6175	6279	5376
ENSG00000176022	984	958	658	637	430	613
ENSG00000184163	8	8	6	5	0	1
ENSG00000260179	4	3	3	0	4	0
ENSG00000160087	1920	2329	1643	1452	1483	1372
ENSG00000230415	12	16	16	7	15	6
ENSG00000162572	117	166	109	85	149	108
ENSG00000131584	2760	2211	1535	2151	4344	2500
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	685	696	563	404	424	373
ENSG00000127054	2634	3162	2272	2323	2828	2210
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	34	34	24	21	71	11
ENSG00000224051	808	1016	799	379	440	448
ENSG00000169962	14	34	23	14	10	14
ENSG00000107404	3252	3972	3124	2878	3318	3923
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	2482	3053	2027	1210	1243	1234
ENSG00000175756	2433	2509	1935	2071	2137	2088
ENSG00000223663	1	0	0	0	2	0
ENSG00000221978	28077	27822	19324	9906	15217	7599
ENSG00000224870	1410	1469	998	968	862	804
ENSG00000242485	2944	3646	2329	2039	2096	1804
ENSG00000264293	0	0	0	0	0	0
